Year,st,State,Atkin05,Gini,RMeanDev,Theil
1920,30,New Hampshire,0.126017705,0.365436047,0.517544806,0.336864918
1920,31,New Jersey,0.156187952,0.403340727,0.583629012,0.443875134
1920,32,New Mexico,0.06622687,0.268190891,0.371774763,0.158106729
1920,33,New York,0.214494184,0.472483724,0.701898873,0.66243279
1920,34,North Carolina,0.180324763,0.42466256,0.618078887,0.579354107
1920,35,North Dakota,0.071974859,0.286495656,0.401467383,0.167883053
1920,36,Ohio,0.151891693,0.391581148,0.570762932,0.434822381
1920,37,Oklahoma,0.145878196,0.391349465,0.56827873,0.405951828
1920,38,Oregon,0.123236403,0.360378712,0.516049385,0.341507167
1920,39,Pennsylvania,0.182128787,0.427326977,0.630777657,0.547250509
1920,40,Rhode Island,0.219741166,0.47553879,0.701384187,0.674742043
1920,41,South Carolina,0.118186809,0.351559371,0.504298151,0.309822053
1920,42,South Dakota,0.08906205,0.325062901,0.458996326,0.205669418
1920,43,Tennessee,0.146100819,0.399434924,0.58681339,0.383540422
1920,44,Texas,0.114271991,0.342037052,0.484669179,0.309779346
1920,45,Utah,0.081911527,0.291074753,0.401744068,0.205733255
1920,46,Vermont,0.151293486,0.400752634,0.572959483,0.421827316
1920,47,Virginia,0.121931851,0.359290093,0.515056491,0.320606768
1920,48,Washington,0.094544157,0.318385631,0.445455372,0.248057634
1920,49,West Virginia,0.116615899,0.337500602,0.480105311,0.321066558
1920,50,Wisconsin,0.141774461,0.389081061,0.571182191,0.379225314
1920,51,Wyoming,0.058695991,0.242974967,0.328334123,0.145780876
1921,0,United States,0.163988188,0.41332832,0.584514022,0.452951133
1921,1,Alabama,0.11599423,0.343968242,0.468872756,0.300241172
1921,3,Arizona,0.051089521,0.231430054,0.309953094,0.119745463
1921,4,Arkansas,0.116294928,0.353878379,0.480060309,0.280219465
1921,5,California,0.148846,0.401281387,0.564871907,0.381423146
1921,6,Colorado,0.139110982,0.388668507,0.535017967,0.346572727
1921,7,Connecticut,0.179180205,0.440164328,0.62564379,0.476590246
1921,8,Delaware,0.154547334,0.396805227,0.554228067,0.424215883
1921,9,District of Columbia,0.149001718,0.402097106,0.573139846,0.387737423
1921,10,Florida,0.141150147,0.398388863,0.548755646,0.344085217
1921,11,Georgia,0.128417507,0.368657738,0.497399956,0.318767041
1921,13,Idaho,0.080484517,0.29245609,0.388465434,0.171265885
1921,14,Illinois,0.154812023,0.397783428,0.579174042,0.430601984
